genes	pvalue	padj
Pcyt1a	3.99E-109	8.39E-105
Senp5	6.40E-108	6.73E-104
Bdh1	2.18E-96	1.53E-92
Fbxo45	1.34E-92	7.02E-89
Rnf168	5.16E-88	2.17E-84
Pak2	1.62E-76	5.67E-73
Ncbp2	6.98E-76	2.10E-72
Cep19	9.91E-74	2.61E-70
Ubxn7	2.65E-69	6.20E-66
Dlg1	9.98E-48	2.10E-44
0610012G03Rik	1.12E-41	2.15E-38
Pigx	1.49E-27	2.61E-24
Tfrc	4.38E-26	7.09E-23
Tctex1d2	1.07E-23	1.61E-20
Wdr53	4.52E-21	6.34E-18
Pigz	3.50E-20	4.60E-17
Nrros	2.80E-16	3.47E-13
Gpnmb	3.34E-10	3.91E-07
Nlrp5-ps	5.53E-06	0.006124798
4930513N10Rik	1.08E-05	0.011406265
Selplg	2.22E-05	0.022180469
1700048O20Rik	2.99E-05	0.028553739
Txnip	4.41E-05	0.040291752
Gm15694	4.62E-05	0.040481114
4930447C04Rik	7.10E-05	0.059761402
Lrrc74b	0.000108677	0.087894759
Ccdc153	0.000204915	0.159590984
Lrrc23	0.000325758	0.244644236
Socs3	0.000464943	0.337131443
Itgax	0.000528463	0.370417609
Acta2	0.00058231	0.388308578
Foxj1	0.00059092	0.388308578
Anxa11	0.000612876	0.390532126
Tmem119	0.000635741	0.393187297
Alas2	0.000692043	0.41577933
Hspa1b	0.000716106	0.418285705
Mfi2	0.000745166	0.423495863
Mkx	0.000816415	0.451778102
Col7a1	0.00090392	0.487375215
Igfbp3	0.001007184	0.529476874
Jun	0.001210925	0.621056661
Ccl2	0.001283185	0.627650953
Ccl7	0.001283479	0.627650953
Ddit3	0.001404472	0.671086509
Ramp2	0.001436128	0.671086509
Il1rl1	0.00195377	0.893127747
Spp1	0.002048492	0.916503918
Ccdc60	0.002237858	0.960135823
Gtf2h4	0.002310347	0.960135823
Il1rap	0.002315996	0.960135823
Mrc1	0.002328654	0.960135823
Cyr61	0.002418269	0.977910716
Ier3	0.002610543	0.992396913
Clec4a3	0.002621742	0.992396913
Diap2	0.002638035	0.992396913
BC051019	0.002718762	0.992396913
Tbx1	0.00272976	0.992396913
Vmn2r29	0.002737256	0.992396913
Rdm1	0.002852659	0.9998431
Fbxw24	0.002896977	0.9998431
Spred3	0.002993259	0.9998431
Erv3	0.003090016	0.9998431
Ccdc108	0.00317586	0.9998431
Psme2b	0.003241074	0.9998431
Isyna1	0.003268399	0.9998431
Ccdc180	0.003269304	0.9998431
Tmem107	0.003309867	0.9998431
Rasa4	0.003315939	0.9998431
Btg2	0.003342756	0.9998431
9430060I03Rik	0.003361561	0.9998431
Rasef	0.003469318	0.9998431
Stab1	0.003498002	0.9998431
E030003E18Rik	0.003540749	0.9998431
Hist1h4h	0.003570985	0.9998431
Capn11	0.003643798	0.9998431
Rd3	0.003777278	0.9998431
Ttc29	0.003788225	0.9998431
Dnajc28	0.003823306	0.9998431
Prelp	0.00388264	0.9998431
Tcf15	0.003992395	0.9998431
9930014A18Rik	0.004178115	0.9998431
Bpifb6	0.004274365	0.9998431
Gm5129	0.004275521	0.9998431
Heph	0.004287938	0.9998431
Icam2	0.004317259	0.9998431
Trp73	0.00457411	0.9998431
4933433C11Rik	0.004746611	0.9998431
Slc36a2	0.004830117	0.9998431
Magt1	0.004934095	0.9998431
Pitpnc1	0.00499775	0.9998431
Fosb	0.005038308	0.9998431
Gm6792	0.005054002	0.9998431
Itga11	0.005121238	0.9998431
Rhcg	0.005353678	0.9998431
Acer3	0.00544574	0.9998431
Gm19522	0.005519907	0.9998431
Cyb5d2	0.005579856	0.9998431
Gm20750	0.005586632	0.9998431
Nup210l	0.005777944	0.9998431
S100a9	0.005877087	0.9998431
Dkk3	0.005901372	0.9998431
Aoah	0.005935853	0.9998431
Tmem212	0.00622774	0.9998431
Eln	0.006401611	0.9998431
Acaa1b	0.006508307	0.9998431
Gm29683	0.006590446	0.9998431
4931429I11Rik	0.006627249	0.9998431
Adam1b	0.006652977	0.9998431
Fam83b	0.006971187	0.9998431
Col16a1	0.00699377	0.9998431
Uap1l1	0.007010178	0.9998431
Gng5	0.007017723	0.9998431
Gm14403	0.007052781	0.9998431
Cfb	0.007072295	0.9998431
1700028B04Rik	0.007248185	0.9998431
Cdk20	0.007465375	0.9998431
AA474331	0.007585799	0.9998431
En1	0.007731306	0.9998431
Tekt4	0.007732084	0.9998431
Esrrb	0.007745857	0.9998431
Col5a3	0.007758555	0.9998431
Dok3	0.007773862	0.9998431
Gcnt4	0.007897457	0.9998431
Eya1	0.007987653	0.9998431
Plin3	0.008008057	0.9998431
Rhpn1	0.00810347	0.9998431
Tmem184c	0.008288335	0.9998431
Wdr63	0.008315078	0.9998431
Dio3	0.008347593	0.9998431
Nnat	0.008374942	0.9998431
Nipa2	0.008498792	0.9998431
Epha10	0.008620315	0.9998431
Hist1h2bc	0.008716858	0.9998431
Car9	0.008898318	0.9998431
Snx30	0.008997772	0.9998431
Zfp35	0.009196584	0.9998431
Serpinf1	0.009197655	0.9998431
Lincred1	0.009245844	0.9998431
Irx2	0.009386015	0.9998431
9530059O14Rik	0.00951297	0.9998431
Il12a	0.009521962	0.9998431
Nme8	0.009573588	0.9998431
Adra2c	0.009691443	0.9998431
Crygb	0.009715898	0.9998431
Gm5771	0.009821889	0.9998431
Cdh4	0.009879517	0.9998431
Odf3l2	0.009958285	0.9998431
4732471J01Rik	0.010368718	0.9998431
Adam33	0.010378691	0.9998431
Mir5106	0.010598017	0.9998431
Bnip1	0.010641145	0.9998431
Pisd-ps1	0.010672977	0.9998431
Spata18	0.010746116	0.9998431
Snora31	0.010832185	0.9998431
Six3	0.010880509	0.9998431
Pde1b	0.010961414	0.9998431
Tbx22	0.011038514	0.9998431
Ccdc121	0.011134616	0.9998431
Ano4	0.011386937	0.9998431
Dnaic2	0.011438714	0.9998431
B4galt1	0.011640828	0.9998431
Abhd14b	0.011770742	0.9998431
Cdk5rap1	0.011931124	0.9998431
Ell2	0.011965344	0.9998431
Nek8	0.012444841	0.9998431
4930429B21Rik	0.012446308	0.9998431
Ccdc33	0.012596317	0.9998431
Xbp1	0.012622901	0.9998431
Slfn3	0.012733946	0.9998431
Sox15	0.012983669	0.9998431
Mir540	0.0130566	0.9998431
Zfp94	0.013081611	0.9998431
Atp2a1	0.013098755	0.9998431
Hlx	0.013139308	0.9998431
Dnajc17	0.013202414	0.9998431
Mir376c	0.013639398	0.9998431
Rab24	0.013703098	0.9998431
